,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
37,TCS,EQ,6-Jul-17,2356.0,2359.0,2361.9,2340.1,2350.05,2347.55,2348.75,513394,1205834807.0,26826,342973,66.81,7,2017,2491.151129502117,-0.0035865874363326666,Slight positive
38,TCS,EQ,7-Jul-17,2347.55,2350.0,2356.45,2325.5,2332.0,2331.95,2343.49,616045,1443697743.0,52731,417958,67.85,7,2017,2488.9658657792343,-0.006645225873783467,Slight positive
39,TCS,EQ,10-Jul-17,2331.95,2341.0,2444.9,2341.0,2435.0,2434.95,2426.54,398392,966714360.9,12486,188289,47.26,7,2017,2488.490597209683,0.044169043075537706,Slight positive
40,TCS,EQ,11-Jul-17,2434.95,2426.0,2514.8,2426.0,2482.5,2475.8,2478.13,1768752,4383194953.0,96054,937311,52.99,7,2017,2488.0134922309526,0.016776525185322244,Slight positive
41,TCS,EQ,12-Jul-17,2475.8,2482.5,2483.3,2430.1,2441.0,2439.45,2453.34,1323225,3246316255.0,62259,926229,70.0,7,2017,2486.684989459395,-0.014682122950157694,Slight positive
42,TCS,EQ,13-Jul-17,2439.45,2445.0,2472.0,2426.6,2439.0,2446.4,2449.5,1565980,3835873018.0,64700,819249,52.32,7,2017,2485.421676382364,0.002849002849002913,Slight positive
43,TCS,EQ,14-Jul-17,2446.4,2383.0,2425.0,2375.0,2399.1,2397.45,2396.18,2254216,5401499336.0,95561,853385,37.86,7,2017,2481.6220159779627,-0.02000899280575552,Slight positive
44,TCS,EQ,17-Jul-17,2397.45,2397.7,2422.1,2382.2,2397.1,2395.45,2402.63,1105911,2657095372.0,49251,668063,60.41,7,2017,2479.8339384045944,-0.0008342196917557887,Slight positive
45,TCS,EQ,18-Jul-17,2395.45,2396.15,2443.0,2396.15,2415.1,2408.35,2418.05,954001,2306823903.0,67981,587896,61.62,7,2017,2478.57688946004,0.005385209459600526,Slight positive
46,TCS,EQ,19-Jul-17,2408.35,2415.5,2460.0,2415.1,2449.25,2449.6,2442.01,1957788,4780943653.0,87419,1244355,63.56,7,2017,2477.5675999781456,0.01712790914941764,Slight positive
47,TCS,EQ,20-Jul-17,2449.6,2449.25,2456.9,2430.5,2437.0,2444.7,2441.25,591252,1443393894.0,23307,305250,51.63,7,2017,2477.22546735317,-0.0020003265839321216,Slight positive
48,TCS,EQ,21-Jul-17,2444.7,2434.9,2500.0,2434.55,2496.0,2491.2,2473.18,1074208,2656704863.0,64460,652870,60.78,7,2017,2477.4848511140226,0.019020738740949783,Slight positive
49,TCS,EQ,24-Jul-17,2491.2,2482.0,2540.0,2482.0,2535.0,2530.7,2519.47,1135701,2861364170.0,68968,749335,65.98,7,2017,2478.5090315409593,0.015855812459858676,Slight positive
50,TCS,EQ,25-Jul-17,2530.7,2525.75,2580.0,2518.4,2579.0,2571.5,2552.41,1339416,3418736145.0,93466,915489,68.35,7,2017,2480.5729185433884,0.016122021575058376,Slight positive
51,TCS,EQ,26-Jul-17,2571.5,2560.0,2575.0,2547.0,2552.0,2556.0,2559.66,729913,1868329653.0,38234,464420,63.63,7,2017,2481.47429632098,-0.006027610344157108,Slight positive
52,TCS,EQ,27-Jul-17,2556.0,2542.2,2584.8,2466.5,2477.0,2481.7,2499.85,2127652,5318805858.0,58582,1376530,64.7,7,2017,2481.4818939275033,-0.029068857589984454,Slight positive
53,TCS,EQ,28-Jul-17,2481.7,2481.0,2493.05,2442.0,2484.95,2484.3,2467.41,691376,1705908235.0,55534,349700,50.58,7,2017,2481.512385830306,0.0010476689366161196,Slight positive
54,TCS,EQ,31-Jul-17,2484.3,2471.0,2519.0,2463.0,2494.95,2491.8,2490.03,1009831,2514510450.0,59801,555095,54.97,7,2017,2481.6724397902944,0.00301895906291505,Slight positive
55,TCS,EQ,1-Aug-17,2491.8,2500.0,2520.75,2491.0,2495.15,2501.65,2502.14,873730,2186195097.0,42188,620303,70.99,8,2017,2481.937787701163,0.0039529657275865215,Slight positive
